"","bundesland","branche","Count"
"1","Baden-Württemberg","Eisengießereien",4
"2","Baden-Württemberg","Elektrizitätserzeugung",1
"3","Baden-Württemberg","Elektrizitätsversorgung",2
"4","Baden-Württemberg","Erzeugung und erste Bearbeitung von Kupfer",1
"5","Baden-Württemberg","Erzeugung von Roheisen, Stahl und Ferrolegierungen",3
"6","Baden-Württemberg","Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer",2
"7","Baden-Württemberg","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",1
"8","Baden-Württemberg","Herstellung von Gipserzeugnissen für den Bau",1
"9","Baden-Württemberg","Herstellung von Glas und Glaswaren",1
"10","Baden-Württemberg","Herstellung von Glasfasern und Waren daraus",1
"11","Baden-Württemberg","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",1
"12","Baden-Württemberg","Herstellung von Hohlglas",1
"13","Baden-Württemberg","Herstellung von Holz- und Zellstoff",3
"14","Baden-Württemberg","Herstellung von Industriegasen",1
"15","Baden-Württemberg","Herstellung von Kalk und gebranntem Gips",2
"16","Baden-Württemberg","Herstellung von kaltgezogenem Draht",1
"17","Baden-Württemberg","Herstellung von Kunststoffwaren",1
"18","Baden-Württemberg","Herstellung von Papier, Karton und Pappe",12
"19","Baden-Württemberg","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",4
"20","Baden-Württemberg","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",1
"21","Baden-Württemberg","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",2
"22","Baden-Württemberg","Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln",1
"23","Baden-Württemberg","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",1
"24","Baden-Württemberg","Herstellung von sonstigen Gummiwaren",1
"25","Baden-Württemberg","Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz",1
"26","Baden-Württemberg","Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen",1
"27","Baden-Württemberg","Herstellung von sonstigen Textilwaren a. n. g.",1
"28","Baden-Württemberg","Herstellung von Verpackungsmitteln aus Kunststoffen",7
"29","Baden-Württemberg","Herstellung von Zement",1
"30","Baden-Württemberg","Herstellung von Zement, Kalk und gebranntem Gips",1
"31","Baden-Württemberg","Mahl- und Schälmühlen",2
"32","Baden-Württemberg","Milchverarbeitung (ohne Herstellung von Speiseeis)",1
"33","Baden-Württemberg","Oberflächenveredlung und Wärmebehandlung",3
"34","Baden-Württemberg","Rückgewinnung sortierter Werkstoffe",1
"35","Baden-Württemberg","Schienenbahn",5
"36","Baden-Württemberg","Schlachten (ohne Schlachten von Geflügel)",1
"37","Baden-Württemberg","Spinnstoffaufbereitung und Spinnerei",1
"38","Baden-Württemberg","Wärme- und Kälteversorgung",2
"39","Baden-Württemberg","Wasserversorgung",2
"40","Baden-Württemberg","Weberei",1
"41","Bayern","Drucken von Zeitungen",1
"42","Bayern","Eisengießereien",6
"43","Bayern","Elektrizitätserzeugung",1
"44","Bayern","Elektrizitätsverteilung",1
"45","Bayern","Erzeugung und erste Bearbeitung von Aluminium",1
"46","Bayern","Erzeugung und erste Bearbeitung von Kupfer",2
"47","Bayern","Erzeugung von Roheisen, Stahl und Ferrolegierungen",1
"48","Bayern","Gewinnung von Salz",1
"49","Bayern","Herstellung von elektronischen Bauelementen",1
"50","Bayern","Herstellung von elektronischen Bauelementen und Leiterplatten",1
"51","Bayern","Herstellung von Farbstoffen und Pigmenten",1
"52","Bayern","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",2
"53","Bayern","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",1
"54","Bayern","Herstellung von Hohlglas",3
"55","Bayern","Herstellung von Industriegasen",2
"56","Bayern","Herstellung von Kalk und gebranntem Gips",1
"57","Bayern","Herstellung von Kunststoffen in Primärformen",4
"58","Bayern","Herstellung von Leder und Lederfaserstoff, Zurichtung und Färben von Fellen",1
"59","Bayern","Herstellung von Malz",1
"60","Bayern","Herstellung von Papier, Karton und Pappe",8
"61","Bayern","Herstellung von Parketttafeln",1
"62","Bayern","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",7
"63","Bayern","Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln",1
"64","Bayern","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",6
"65","Bayern","Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.",1
"66","Bayern","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",3
"67","Bayern","Herstellung von sonstigen Kunststoffwaren",2
"68","Bayern","Herstellung von sonstigen Metallwaren a. n. g.",1
"69","Bayern","Herstellung von sonstigen organischen Grundstoffen und Chemikalien",1
"70","Bayern","Herstellung von sonstigen Textilwaren a. n. g.",1
"71","Bayern","Herstellung von Verpackungsmitteln aus Kunststoffen",2
"72","Bayern","Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)",1
"73","Bayern","Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe",1
"74","Bayern","Herstellung von Zement",4
"75","Bayern","Kartoffelverarbeitung",1
"76","Bayern","Leichtmetallgießereien",2
"77","Bayern","Milchverarbeitung (ohne Herstellung von Speiseeis)",2
"78","Bayern","Mineralölverarbeitung",1
"79","Bayern","Rückgewinnung sortierter Werkstoffe",1
"80","Bayern","Säge-, Hobel- und Holzimprägnierwerke",3
"81","Bayern","Schienenbahn",3
"82","Bayern","Schlachten (ohne Schlachten von Geflügel)",1
"83","Bayern","Spinnstoffaufbereitung und Spinnerei",2
"84","Bayern","Veredlung und Bearbeitung von Flachglas",2
"85","Bayern","Wärme- und Kälteversorgung",1
"86","Bayern","Weberei",1
"87","Berlin","Behandlung und Beseitigung nicht gefährlicher Abfälle",1
"88","Berlin","Elektrizitätsverteilung",1
"89","Berlin","Erzeugung und erste Bearbeitung von sonstigen NE-Metallen",1
"90","Berlin","Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation",1
"91","Berlin","Herstellung von Verpackungsmitteln aus Kunststoffen",1
"92","Berlin","Schienenbahn",3
"93","Brandenburg","Behandlung und Beseitigung nicht gefährlicher Abfälle",1
"94","Brandenburg","Braunkohlenbergbau",1
"95","Brandenburg","Eisengießereien",2
"96","Brandenburg","Erzeugung von Roheisen, Stahl und Ferrolegierungen",2
"97","Brandenburg","Gewinnung von Kies, Sand, Ton und Kaolin",1
"98","Brandenburg","Herstellung von Backwaren (ohne Dauerbackwaren)",1
"99","Brandenburg","Herstellung von Chemiefasern",2
"100","Brandenburg","Herstellung von Erfrischungsgetränken, Gewinnung natürlicher Mineralwässer",1
"101","Brandenburg","Herstellung von Flachglas",1
"102","Brandenburg","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",7
"103","Brandenburg","Herstellung von Futtermitteln für Nutztiere",1
"104","Brandenburg","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",1
"105","Brandenburg","Herstellung von Hohlglas",1
"106","Brandenburg","Herstellung von keramischen Wand- und Bodenfliesen und -platten",1
"107","Brandenburg","Herstellung von Kunststoffen in Primärformen",2
"108","Brandenburg","Herstellung von Kunststoffwaren",1
"109","Brandenburg","Herstellung von Papier, Karton und Pappe",3
"110","Brandenburg","Herstellung von sonstigen chemischen Erzeugnissen a. n. g.",1
"111","Brandenburg","Herstellung von sonstigen Kunststoffwaren",1
"112","Brandenburg","Herstellung von sonstigen Nahrungsmitteln",1
"113","Brandenburg","Herstellung von sonstigen Nahrungsmitteln a. n. g.",1
"114","Brandenburg","Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen",1
"115","Brandenburg","Herstellung von Stärke und Stärkeerzeugnissen",1
"116","Brandenburg","Herstellung von Verpackungsmitteln aus Kunststoffen",1
"117","Brandenburg","Herstellung von Zement",1
"118","Brandenburg","Herstellung von Ziegeln und sonstiger Baukeramik",1
"119","Brandenburg","Milchverarbeitung",1
"120","Brandenburg","Schienenbahn",1
"121","Brandenburg","Wärme- und Kälteversorgung",1
"122","Bremen","Herstellung von Futtermitteln für Nutztiere",1
"123","Bremen","Mahl- und Schälmühlen",1
"124","Bremen","Oberflächenveredlung und Wärmebehandlung",1
"125","Bremen","Schienenbahn",1
"126","Hamburg","Behandlung und Beseitigung gefährlicher Abfälle",1
"127","Hamburg","Erzeugung und erste Bearbeitung von Kupfer",1
"128","Hamburg","Erzeugung von Roheisen, Stahl und Ferrolegierungen",1
"129","Hamburg","Herstellung von Futtermitteln für Nutztiere",1
"130","Hamburg","Herstellung von Süßwaren (ohne Dauerbackwaren)",1
"131","Hamburg","Mineralölverarbeitung",1
"132","Hamburg","Schienenbahn",3
"133","Hessen","Eisengießereien",3
"134","Hessen","Elektrizitätsversorgung",2
"135","Hessen","Erzeugung von Roheisen, Stahl und Ferrolegierungen",1
"136","Hessen","Herstellung von Chemiefasern",1
"137","Hessen","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",1
"138","Hessen","Herstellung von Industriegasen",2
"139","Hessen","Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke",1
"140","Hessen","Herstellung von Kunststoffen in Primärformen",2
"141","Hessen","Herstellung von Kunststoffwaren",1
"142","Hessen","Herstellung von Papier, Karton und Pappe",4
"143","Hessen","Herstellung von Papier, Pappe und Waren daraus",1
"144","Hessen","Herstellung von pharmazeutischen Grundstoffen",1
"145","Hessen","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",1
"146","Hessen","Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln",1
"147","Hessen","Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe",1
"148","Hessen","Herstellung von Zement",2
"149","Hessen","Säge-, Hobel- und Holzimprägnierwerke",1
"150","Hessen","Schienenbahn",7
"151","Hessen","Wasserversorgung",1
"152","Mecklenburg-Vorpommern","Eisengießereien",1
"153","Mecklenburg-Vorpommern","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",1
"154","Mecklenburg-Vorpommern","Herstellung von keramischen Wand- und Bodenfliesen und -platten",1
"155","Mecklenburg-Vorpommern","Herstellung von Kunststoffwaren",1
"156","Mecklenburg-Vorpommern","Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz",1
"157","Mecklenburg-Vorpommern","Installation von Maschinen und Ausrüstungen a. n. g.",1
"158","Mecklenburg-Vorpommern","Milchverarbeitung",1
"159","Mecklenburg-Vorpommern","Milchverarbeitung (ohne Herstellung von Speiseeis)",3
"160","Mecklenburg-Vorpommern","Schienenbahn",1
"161","Mecklenburg-Vorpommern","Schlachten und Fleischverarbeitung",1
"162","Niedersachsen","Buntmetallgießereien",1
"163","Niedersachsen","Eisengießereien",1
"164","Niedersachsen","Elektrizitätsverteilung",2
"165","Niedersachsen","Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas",1
"166","Niedersachsen","Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",1
"167","Niedersachsen","Erzeugung und erste Bearbeitung von Kupfer",1
"168","Niedersachsen","Erzeugung von Roheisen, Stahl und Ferrolegierungen",3
"169","Niedersachsen","Fleischverarbeitung",1
"170","Niedersachsen","Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer",1
"171","Niedersachsen","Herstellung und Runderneuerung von Bereifungen",1
"172","Niedersachsen","Herstellung von Batterien und Akkumulatoren",1
"173","Niedersachsen","Herstellung von Erfrischungsgetränken, Gewinnung natürlicher Mineralwässer",1
"174","Niedersachsen","Herstellung von Farbstoffen und Pigmenten",1
"175","Niedersachsen","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",1
"176","Niedersachsen","Herstellung von Futtermitteln für Nutztiere",4
"177","Niedersachsen","Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)",2
"178","Niedersachsen","Herstellung von Industriegasen",1
"179","Niedersachsen","Herstellung von Kalk und gebranntem Gips",1
"180","Niedersachsen","Herstellung von keramischen Wand- und Bodenfliesen und -platten",1
"181","Niedersachsen","Herstellung von Kunststoffen in Primärformen",2
"182","Niedersachsen","Herstellung von Kunststoffwaren",4
"183","Niedersachsen","Herstellung von Metallkonstruktionen",1
"184","Niedersachsen","Herstellung von Ölen und Fetten (ohne Margarine u.ä. Nahrungsfette)",1
"185","Niedersachsen","Herstellung von Papier, Karton und Pappe",6
"186","Niedersachsen","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",1
"187","Niedersachsen","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",2
"188","Niedersachsen","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",3
"189","Niedersachsen","Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln",1
"190","Niedersachsen","Herstellung von sonstigen Nahrungsmitteln",1
"191","Niedersachsen","Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen",1
"192","Niedersachsen","Herstellung von Stärke und Stärkeerzeugnissen",1
"193","Niedersachsen","Herstellung von Verpackungsmitteln aus Kunststoffen",4
"194","Niedersachsen","Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)",1
"195","Niedersachsen","Herstellung von Zement, Kalk und gebranntem Gips",1
"196","Niedersachsen","Herstellung von Ziegeln und sonstiger Baukeramik",1
"197","Niedersachsen","Leichtmetallgießereien",1
"198","Niedersachsen","Mahl- und Schälmühlen",1
"199","Niedersachsen","Milchverarbeitung (ohne Herstellung von Speiseeis)",1
"200","Niedersachsen","Oberflächenveredlung und Wärmebehandlung",1
"201","Niedersachsen","Obst- und Gemüseverarbeitung",1
"202","Niedersachsen","Schienenbahn",3
"203","Niedersachsen","Schlachten und Fleischverarbeitung",1
"204","Niedersachsen","Schlachten von Geflügel",2
"205","Nordrhein-Westfalen","Abwasserentsorgung",1
"206","Nordrhein-Westfalen","Behandlung und Beseitigung nicht gefährlicher Abfälle",1
"207","Nordrhein-Westfalen","Buntmetallgießereien",1
"208","Nordrhein-Westfalen","Eisengießereien",16
"209","Nordrhein-Westfalen","Elektrizitätsverteilung",1
"210","Nordrhein-Westfalen","Erzeugung und erste Bearbeitung von Aluminium",4
"211","Nordrhein-Westfalen","Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",1
"212","Nordrhein-Westfalen","Erzeugung und erste Bearbeitung von Kupfer",4
"213","Nordrhein-Westfalen","Erzeugung und erste Bearbeitung von sonstigen NE-Metallen",2
"214","Nordrhein-Westfalen","Erzeugung von Roheisen, Stahl und Ferrolegierungen",6
"215","Nordrhein-Westfalen","Gewinnung von Salz",1
"216","Nordrhein-Westfalen","Herstellung von Chemiefasern",2
"217","Nordrhein-Westfalen","Herstellung von elektronischen Bauelementen",1
"218","Nordrhein-Westfalen","Herstellung von Farbstoffen und Pigmenten",1
"219","Nordrhein-Westfalen","Herstellung von Flachglas",1
"220","Nordrhein-Westfalen","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",5
"221","Nordrhein-Westfalen","Herstellung von Futtermitteln",1
"222","Nordrhein-Westfalen","Herstellung von Futtermitteln für Nutztiere",1
"223","Nordrhein-Westfalen","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",2
"224","Nordrhein-Westfalen","Herstellung von Hohlglas",3
"225","Nordrhein-Westfalen","Herstellung von Holz- und Zellstoff",1
"226","Nordrhein-Westfalen","Herstellung von Industriegasen",9
"227","Nordrhein-Westfalen","Herstellung von Kalk und gebranntem Gips",2
"228","Nordrhein-Westfalen","Herstellung von Kaltband mit einer Breite von weniger als 600 mm",1
"229","Nordrhein-Westfalen","Herstellung von kaltgezogenem Draht",1
"230","Nordrhein-Westfalen","Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke",1
"231","Nordrhein-Westfalen","Herstellung von Kunststoffen in Primärformen",4
"232","Nordrhein-Westfalen","Herstellung von Kunststoffwaren",2
"233","Nordrhein-Westfalen","Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen",1
"234","Nordrhein-Westfalen","Herstellung von Ölen und Fetten (ohne Margarine u.ä. Nahrungsfette)",1
"235","Nordrhein-Westfalen","Herstellung von Papier, Karton und Pappe",18
"236","Nordrhein-Westfalen","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",1
"237","Nordrhein-Westfalen","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",4
"238","Nordrhein-Westfalen","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",2
"239","Nordrhein-Westfalen","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",3
"240","Nordrhein-Westfalen","Herstellung von sonstigen Metallwaren a. n. g.",1
"241","Nordrhein-Westfalen","Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.",1
"242","Nordrhein-Westfalen","Herstellung von sonstigen organischen Grundstoffen und Chemikalien",4
"243","Nordrhein-Westfalen","Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen",1
"244","Nordrhein-Westfalen","Herstellung von Stärke und Stärkeerzeugnissen",2
"245","Nordrhein-Westfalen","Herstellung von synthetischem Kautschuk in Primärformen",1
"246","Nordrhein-Westfalen","Herstellung von Verpackungsmitteln aus Kunststoffen",7
"247","Nordrhein-Westfalen","Herstellung von Zement",7
"248","Nordrhein-Westfalen","Herstellung von Zement, Kalk und gebranntem Gips",1
"249","Nordrhein-Westfalen","Leichtmetallgießereien",1
"250","Nordrhein-Westfalen","Mahl- und Schälmühlen",2
"251","Nordrhein-Westfalen","Mineralölverarbeitung",1
"252","Nordrhein-Westfalen","Oberflächenveredlung und Wärmebehandlung",4
"253","Nordrhein-Westfalen","Rückgewinnung sortierter Werkstoffe",2
"254","Nordrhein-Westfalen","Säge-, Hobel- und Holzimprägnierwerke",1
"255","Nordrhein-Westfalen","Schienenbahn",16
"256","Nordrhein-Westfalen","Stahlgießereien",3
"257","Nordrhein-Westfalen","Steinkohlenbergbau",4
"258","Nordrhein-Westfalen","Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",1
"259","Nordrhein-Westfalen","Wärme- und Kälteversorgung",4
"260","Nordrhein-Westfalen","Wasserversorgung",2
"261","Nordrhein-Westfalen","Weberei",1
"262","Rheinland-Pfalz","Eisengießereien",6
"263","Rheinland-Pfalz","Elektrizitätserzeugung",1
"264","Rheinland-Pfalz","Elektrizitätsverteilung",1
"265","Rheinland-Pfalz","Erzeugung von Roheisen, Stahl und Ferrolegierungen",2
"266","Rheinland-Pfalz","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",1
"267","Rheinland-Pfalz","Herstellung von Industriegasen",1
"268","Rheinland-Pfalz","Herstellung von keramischen Wand- und Bodenfliesen und -platten",1
"269","Rheinland-Pfalz","Herstellung von Kunststoffen in Primärformen",1
"270","Rheinland-Pfalz","Herstellung von Kunststoffwaren",1
"271","Rheinland-Pfalz","Herstellung von Papier, Karton und Pappe",2
"272","Rheinland-Pfalz","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",2
"273","Rheinland-Pfalz","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",1
"274","Rheinland-Pfalz","Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.",1
"275","Rheinland-Pfalz","Herstellung von sonstigen Kunststoffwaren",1
"276","Rheinland-Pfalz","Herstellung von sonstigen Textilwaren a. n. g.",1
"277","Rheinland-Pfalz","Herstellung von Verpackungsmitteln aus Kunststoffen",3
"278","Rheinland-Pfalz","Herstellung von Zement",1
"279","Rheinland-Pfalz","Säge-, Hobel- und Holzimprägnierwerke",2
"280","Rheinland-Pfalz","Schienenbahn",1
"281","Rheinland-Pfalz","Weberei",1
"282","Saarland","Eisengießereien",1
"283","Saarland","Elektrizitätsversorgung",1
"284","Saarland","Erzeugung von Roheisen, Stahl und Ferrolegierungen",3
"285","Saarland","Herstellung von Drahtwaren, Ketten und Federn",1
"286","Saarland","Herstellung von Erfrischungsgetränken, Gewinnung natürlicher Mineralwässer",1
"287","Saarland","Kokerei",1
"288","Saarland","Wärme- und Kälteversorgung",1
"289","Sachsen","Eisengießereien",9
"290","Sachsen","Elektrizitätserzeugung",1
"291","Sachsen","Erzeugung von Roheisen, Stahl und Ferrolegierungen",3
"292","Sachsen","Gewinnung von Kies, Sand, Ton und Kaolin",1
"293","Sachsen","Herstellung von Batterien und Akkumulatoren",1
"294","Sachsen","Herstellung von elektronischen Bauelementen",1
"295","Sachsen","Herstellung von elektronischen Bauelementen und Leiterplatten",1
"296","Sachsen","Herstellung von Flachglas",1
"297","Sachsen","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",2
"298","Sachsen","Herstellung von Glasfasern und Waren daraus",1
"299","Sachsen","Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)",1
"300","Sachsen","Herstellung von Papier, Karton und Pappe",6
"301","Sachsen","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",2
"302","Sachsen","Herstellung von sonstigen chemischen Erzeugnissen a. n. g.",1
"303","Sachsen","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",1
"304","Sachsen","Herstellung von Verpackungsmitteln aus Kunststoffen",1
"305","Sachsen","Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz",1
"306","Sachsen","Leichtmetallgießereien",1
"307","Sachsen","Milchverarbeitung (ohne Herstellung von Speiseeis)",2
"308","Sachsen","Oberflächenveredlung und Wärmebehandlung",1
"309","Sachsen","Schienenbahn",4
"310","Sachsen","Schlachten von Geflügel",1
"311","Sachsen","Spinnstoffaufbereitung und Spinnerei",1
"312","Sachsen","Stahlgießereien",1
"313","Sachsen","Veredlung und Bearbeitung von Flachglas",1
"314","Sachsen","Weberei",1
"315","Sachsen-Anhalt","Drucken von Zeitungen",1
"316","Sachsen-Anhalt","Erzeugung und erste Bearbeitung von Aluminium",1
"317","Sachsen-Anhalt","Erzeugung und erste Bearbeitung von Kupfer",1
"318","Sachsen-Anhalt","Gashandel durch Rohrleitungen",1
"319","Sachsen-Anhalt","Herstellung von Düngemitteln und Stickstoffverbindungen",1
"320","Sachsen-Anhalt","Herstellung von Erfrischungsgetränken, Gewinnung natürlicher Mineralwässer",2
"321","Sachsen-Anhalt","Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",2
"322","Sachsen-Anhalt","Herstellung von Glasfasern und Waren daraus",1
"323","Sachsen-Anhalt","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",1
"324","Sachsen-Anhalt","Herstellung von Industriegasen",2
"325","Sachsen-Anhalt","Herstellung von Klebstoffen",1
"326","Sachsen-Anhalt","Herstellung von Kunststoffen in Primärformen",6
"327","Sachsen-Anhalt","Herstellung von Kunststoffwaren",2
"328","Sachsen-Anhalt","Herstellung von Papier, Karton und Pappe",2
"329","Sachsen-Anhalt","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",3
"330","Sachsen-Anhalt","Herstellung von Schrauben und Nieten",1
"331","Sachsen-Anhalt","Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln",1
"332","Sachsen-Anhalt","Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",3
"333","Sachsen-Anhalt","Herstellung von sonstigen chemischen Erzeugnissen a. n. g.",3
"334","Sachsen-Anhalt","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",1
"335","Sachsen-Anhalt","Herstellung von sonstigen organischen Grundstoffen und Chemikalien",1
"336","Sachsen-Anhalt","Herstellung von Verpackungsmitteln aus Kunststoffen",2
"337","Sachsen-Anhalt","Herstellung von Zement, Kalk und gebranntem Gips",1
"338","Sachsen-Anhalt","Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren",1
"339","Sachsen-Anhalt","Kartoffelverarbeitung",1
"340","Sachsen-Anhalt","Leichtmetallgießereien",1
"341","Sachsen-Anhalt","Milchverarbeitung",1
"342","Sachsen-Anhalt","Oberflächenveredlung und Wärmebehandlung",1
"343","Sachsen-Anhalt","Rückgewinnung sortierter Werkstoffe",1
"344","Sachsen-Anhalt","Schienenbahn",2
"345","Sachsen-Anhalt","Schlachten von Geflügel",1
"346","Sachsen-Anhalt","Spinnstoffaufbereitung und Spinnerei",1
"347","Sachsen-Anhalt","Wasserversorgung",1
"348","Schleswig-Holstein","Drucken a. n. g.",1
"349","Schleswig-Holstein","Herstellung von Düngemitteln und Stickstoffverbindungen",1
"350","Schleswig-Holstein","Herstellung von Futtermitteln für Nutztiere",2
"351","Schleswig-Holstein","Herstellung von Holz- und Zellstoff",1
"352","Schleswig-Holstein","Herstellung von Ölen und Fetten (ohne Margarine u.ä. Nahrungsfette)",1
"353","Schleswig-Holstein","Herstellung von Papier, Karton und Pappe",3
"354","Schleswig-Holstein","Herstellung von Zement",2
"355","Schleswig-Holstein","Milchverarbeitung (ohne Herstellung von Speiseeis)",1
"356","Thüringen","Eisengießereien",1
"357","Thüringen","Erzeugung von Roheisen, Stahl und Ferrolegierungen",1
"358","Thüringen","Herstellung von Baubedarfsartikeln aus Kunststoffen",1
"359","Thüringen","Herstellung von Chemiefasern",1
"360","Thüringen","Herstellung von Flachglas",1
"361","Thüringen","Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",4
"362","Thüringen","Herstellung von Hohlglas",5
"363","Thüringen","Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke",1
"364","Thüringen","Herstellung von Kunststoffen in Primärformen",2
"365","Thüringen","Herstellung von Kunststoffwaren",1
"366","Thüringen","Herstellung von Papier, Karton und Pappe",1
"367","Thüringen","Herstellung von Papier, Pappe und Waren daraus",1
"368","Thüringen","Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",2
"369","Thüringen","Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",1
"370","Thüringen","Herstellung von sonstigen chemischen Erzeugnissen",1
"371","Thüringen","Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",1
"372","Thüringen","Herstellung von Verpackungsmitteln aus Kunststoffen",3
"373","Thüringen","Herstellung von Zement, Kalk und gebranntem Gips",1
"374","Thüringen","Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren",1
"375","Thüringen","Leichtmetallgießereien",1
"376","Thüringen","Mahl- und Schälmühlen",1
"377","Thüringen","Rückgewinnung",1
"378","Thüringen","Rückgewinnung sortierter Werkstoffe",1
"379","Thüringen","Säge-, Hobel- und Holzimprägnierwerke",1
"380","Thüringen","Schienenbahn",1
"381","Thüringen","Schlachten und Fleischverarbeitung",1
"382","Thüringen","Spinnstoffaufbereitung und Spinnerei",1
