"Branche","Count"
"Abwasserentsorgung",1
"Behandlung und Beseitigung gefährlicher Abfälle",1
"Braunkohlenbergbau",1
"Drucken a. n. g.",1
"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas",1
"Fleischverarbeitung",1
"Gas-, Wasser-, Heizungs- sowie Lüftungs- und Klimainstallation",1
"Gashandel durch Rohrleitungen",1
"Herstellung und Runderneuerung von Bereifungen",1
"Herstellung von Backwaren (ohne Dauerbackwaren)",1
"Herstellung von Baubedarfsartikeln aus Kunststoffen",1
"Herstellung von Drahtwaren, Ketten und Federn",1
"Herstellung von Futtermitteln",1
"Herstellung von Gipserzeugnissen für den Bau",1
"Herstellung von Glas und Glaswaren",1
"Herstellung von Kaltband mit einer Breite von weniger als 600 mm",1
"Herstellung von Klebstoffen",1
"Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen",1
"Herstellung von Leder und Lederfaserstoff, Zurichtung und Färben von Fellen",1
"Herstellung von Malz",1
"Herstellung von Metallkonstruktionen",1
"Herstellung von Parketttafeln",1
"Herstellung von pharmazeutischen Grundstoffen",1
"Herstellung von Schrauben und Nieten",1
"Herstellung von sonstigen chemischen Erzeugnissen",1
"Herstellung von sonstigen Gummiwaren",1
"Herstellung von sonstigen Nahrungsmitteln a. n. g.",1
"Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.",1
"Herstellung von Süßwaren (ohne Dauerbackwaren)",1
"Herstellung von synthetischem Kautschuk in Primärformen",1
"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz",1
"Installation von Maschinen und Ausrüstungen a. n. g.",1
"Kokerei",1
"Obst- und Gemüseverarbeitung",1
"Rückgewinnung",1
"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",1
"Buntmetallgießereien",2
"Drucken von Zeitungen",2
"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn",2
"Gewinnung von Kies, Sand, Ton und Kaolin",2
"Gewinnung von Salz",2
"Herstellung von Batterien und Akkumulatoren",2
"Herstellung von Düngemitteln und Stickstoffverbindungen",2
"Herstellung von elektronischen Bauelementen und Leiterplatten",2
"Herstellung von kaltgezogenem Draht",2
"Herstellung von Papier, Pappe und Waren daraus",2
"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln",2
"Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.",2
"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz",2
"Herstellung von sonstigen Metallwaren a. n. g.",2
"Herstellung von sonstigen Nahrungsmitteln",2
"Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)",2
"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe",2
"Herstellung von Ziegeln und sonstiger Baukeramik",2
"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren",2
"Kartoffelverarbeitung",2
"Schlachten (ohne Schlachten von Geflügel)",2
"Behandlung und Beseitigung nicht gefährlicher Abfälle",3
"Erzeugung und erste Bearbeitung von sonstigen NE-Metallen",3
"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer",3
"Herstellung von elektronischen Bauelementen",3
"Herstellung von Farbstoffen und Pigmenten",3
"Herstellung von Glasfasern und Waren daraus",3
"Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel)",3
"Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke",3
"Herstellung von Ölen und Fetten (ohne Margarine u.ä. Nahrungsfette)",3
"Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln",3
"Herstellung von sonstigen Textilwaren a. n. g.",3
"Milchverarbeitung",3
"Mineralölverarbeitung",3
"Schlachten und Fleischverarbeitung",3
"Veredlung und Bearbeitung von Flachglas",3
"Elektrizitätserzeugung",4
"Herstellung von Flachglas",4
"Herstellung von keramischen Wand- und Bodenfliesen und -platten",4
"Herstellung von sonstigen Kunststoffwaren",4
"Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen",4
"Herstellung von Stärke und Stärkeerzeugnissen",4
"Schlachten von Geflügel",4
"Stahlgießereien",4
"Steinkohlenbergbau",4
"Elektrizitätsversorgung",5
"Herstellung von Erfrischungsgetränken, Gewinnung natürlicher Mineralwässer",5
"Herstellung von Holz- und Zellstoff",5
"Herstellung von sonstigen chemischen Erzeugnissen a. n. g.",5
"Herstellung von Zement, Kalk und gebranntem Gips",5
"Weberei",5
"Elektrizitätsverteilung",6
"Erzeugung und erste Bearbeitung von Aluminium",6
"Herstellung von Chemiefasern",6
"Herstellung von Kalk und gebranntem Gips",6
"Herstellung von sonstigen organischen Grundstoffen und Chemikalien",6
"Rückgewinnung sortierter Werkstoffe",6
"Spinnstoffaufbereitung und Spinnerei",6
"Wasserversorgung",6
"Leichtmetallgießereien",7
"Mahl- und Schälmühlen",7
"Säge-, Hobel- und Holzimprägnierwerke",8
"Wärme- und Kälteversorgung",9
"Erzeugung und erste Bearbeitung von Kupfer",10
"Herstellung von Futtermitteln für Nutztiere",10
"Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.",10
"Milchverarbeitung (ohne Herstellung von Speiseeis)",10
"Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe",11
"Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen",11
"Oberflächenveredlung und Wärmebehandlung",11
"Herstellung von Hohlglas",13
"Herstellung von Kunststoffwaren",14
"Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien",17
"Herstellung von Industriegasen",18
"Herstellung von Zement",18
"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen",20
"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten",22
"Herstellung von Kunststoffen in Primärformen",23
"Erzeugung von Roheisen, Stahl und Ferrolegierungen",26
"Herstellung von Verpackungsmitteln aus Kunststoffen",31
"Eisengießereien",50
"Schienenbahn",51
"Herstellung von Papier, Karton und Pappe",65
